model,ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
fan_wang,0.2,0.05925925925925926,0.006,14.0,0.017156337125486885,-0.011410491012017115,-0.0002484931302558016,-0.011410491012017115,0.002524772316567742,0.0001861864748528869,4.440892098500626e-16,7.980678082934344e-18,5.522597073115984
fan_wang,0.2,0.05925925925925926,0.006,16.0,0.017132167779998764,-0.01141049101392325,-0.0002727234545224222,-0.01141049101392325,0.0025248951887017978,0.00018618647544904198,2.220446049250313e-16,2.2645295549986158e-18,6.324660335006024
fan_wang,0.3,0.08888888888888888,0.002,10.0,0.059523063519225095,-0.002734642949435793,-2.0794827999714993e-05,-0.002734642949435793,0.009180581633743426,6.330189789532101e-05,2.220446049250313e-16,7.047314121155779e-19,3.9420611444098363
fan_wang,0.3,0.08888888888888888,0.002,12.0,0.05952493395616511,-0.002734642947737568,-2.0798286489084883e-05,-0.002734642947737568,0.009180874282963155,6.330189785857957e-05,3.331391796911832e-16,2.1792193963256754e-18,4.739808479374288
fan_wang,0.3,0.08888888888888888,0.002,14.0,0.05952544889805502,-0.0027346429469881847,-2.080831384552312e-05,-0.0027346429469881847,0.009180956338280775,6.33018979261774e-05,2.2215299868541707e-16,5.3711795822757584e-18,5.538433774898158
fan_wang,0.3,0.08888888888888888,0.002,16.0,0.05952559202991817,-0.0027346429451100412,-2.0841376644792353e-05,-0.0027346429451100412,0.009180984082348288,6.330189797455104e-05,1.3877787807814457e-17,5.479513158655455e-18,6.337504644575568
fan_wang,0.3,0.08888888888888888,0.004,10.0,0.05946064895156546,-0.005470934836736725,-8.320939565934632e-05,-0.005470934836736725,0.009181815217205907,0.00012664193088110943,1.1188630228279524e-16,2.8520906205256223e-18,3.9426905178907075
fan_wang,0.3,0.08888888888888888,0.004,12.0,0.05946236828432939,-0.005470934832102273,-8.336395832480442e-05,-0.005470934832102273,0.009182108809019741,0.00012664193074095505,2.237726045655905e-16,9.36439419136885e-18,4.740838751302366
fan_wang,0.3,0.08888888888888888,0.004,14.0,0.05946227545496323,-0.005470934835276747,-8.398175693731524e-05,-0.005470934835276747,0.009182195380367818,0.00012664193054273947,2.2247786310271853e-16,4.336808689942018e-19,5.540007673605496
fan_wang,0.3,0.08888888888888888,0.004,16.0,0.05946034206447482,-0.005470934840883318,-8.609134208813901e-05,-0.005470934840883318,0.009182237638135636,0.00012664193096895756,4.443059973708341e-16,6.559423143537302e-18,6.339787228309014
fan_wang,0.3,0.08888888888888888,0.006,10.0,0.05935634189708734,-0.00821052549889071,-0.00018751645013746765,-0.00821052549889071,0.00918387388902721,0.00019005825495336907,2.7755575615628914e-17,1.939479807224432e-18,3.9437406868987535
fan_wang,0.3,0.08888888888888888,0.006,12.0,0.05935649686887345,-0.008210525500190677,-0.00018923537378074534,-0.008210525500190677,0.009184180091210538,0.00019005825472151287,2.2887833992611187e-16,1.1417117349080873e-17,4.7425586664088994
fan_wang,0.3,0.08888888888888888,0.006,14.0,0.05935000177292668,-0.008210525504046273,-0.00019625543897386355,-0.008210525504046273,0.009184315422026043,0.00019005825583560607,2.7755575615628914e-17,2.9493487749136975e-18,5.542636570705494
fan_wang,0.3,0.08888888888888888,0.006,16.0,0.05932616502677878,-0.008210525515848568,-0.00022026837978417896,-0.008210525515848568,0.009184511239146922,0.0001900582559867213,3.3766115072321297e-16,4.5290591099972316e-18,6.343602293251546
fan_wang,0.4,0.11851851851851852,0.002,10.0,0.14301124569714616,-0.0018524013952708127,-1.579934471010458e-05,-0.0018524013952708127,0.023329575193751558,5.429350554468117e-05,1.1123893155135927e-16,4.26885244224048e-18,3.963901105875964
fan_wang,0.4,0.11851851851851852,0.002,12.0,0.14301498204505003,-0.001852401394342472,-1.580327034311768e-05,-0.001852401394342472,0.023330194854169494,5.42935055917633e-05,1.1102230246251565e-16,3.8463399601527365e-18,4.759355748970027
fan_wang,0.4,0.11851851851851852,0.002,14.0,0.14301602152131374,-0.0018524013933957015,-1.581334928993372e-05,-0.0018524013933957015,0.023330368823492837,5.429350536383104e-05,4.441434166503682e-16,1.2286246039568527e-17,5.556499198900361
fan_wang,0.4,0.11851851851851852,0.002,16.0,0.14301634137183933,-0.0018524013840271747,-1.584609486354749e-05,-0.0018524013840271747,0.023330427548278552,5.42935053688999e-05,2.2215299868541707e-16,1.2719665862725907e-17,6.354525684599406
fan_wang,0.4,0.11851851851851852,0.004,10.0,0.14296381713157144,-0.003705951373255481,-6.322791028481878e-05,-0.003705951373255481,0.023330649948645765,0.0001086206577533555,1.1188630228279524e-16,7.37257477290143e-18,3.9645304031802184
fan_wang,0.4,0.11851851851851852,0.004,12.0,0.14296740251045162,-0.0037059513706768354,-6.338280494153081e-05,-0.0037059513706768354,0.023331270592988892,0.0001086206575445052,1.3877787807814457e-17,2.710505431213761e-18,4.760387530710622
fan_wang,0.4,0.11851851851851852,0.004,14.0,0.14296783956883488,-0.003705951374111685,-6.399530176878776e-05,-0.003705951374111685,0.02333145040516714,0.00010862065770999782,6.667118051786499e-16,1.2212564154686428e-17,5.558076406804993
fan_wang,0.4,0.11851851851851852,0.004,16.0,0.1429661013845255,-0.003705951371178365,-6.6086082177369e-05,-0.003705951371178365,0.02333152816312576,0.00010862065879441857,4.443059973708341e-16,1.2793585635328952e-17,6.356813631088801
fan_wang,0.4,0.11851851851851852,0.006,10.0,0.1428844870439135,-0.005561799162412756,-0.00014255799794277157,-0.005561799162412756,0.023332444895742044,0.00016301512274775887,2.237726045655905e-16,7.57391076790106e-18,3.965580455389092
fan_wang,0.4,0.11851851851851852,0.006,12.0,0.14288652226231532,-0.005561799162930564,-0.0001442630530778255,-0.005561799162930564,0.02333308164097552,0.000163015122663885,4.577566798522237e-16,1.1177277826259519e-17,4.762109983713515
fan_wang,0.4,0.11851851851851852,0.006,14.0,0.14288061941869654,-0.005561799172302678,-0.00015121545190713293,-0.005561799172302678,0.0233333252350461,0.00016301512244245794,2.237726045655905e-16,3.686287386450715e-18,5.560710859570629
fan_wang,0.4,0.11851851851851852,0.006,16.0,0.14285717813907864,-0.00556179917462149,-0.00017500932762423704,-0.00556179917462149,0.023333604540281598,0.0001630151226225708,2.2887833992611187e-16,6.7220534694101275e-18,6.360637703166343
fan_wang,0.5,0.14814814814814814,0.001,10.0,0.28298756377320117,-0.0005794950218117323,-2.8843844905313e-06,-0.0005794950218117323,0.048584673007781166,2.0233787602508962e-05,2.220446049250313e-16,3.093421843147598e-18,3.9839868173140602
fan_wang,0.5,0.14814814814814814,0.001,12.0,0.2829936224477574,-0.0005794950227837187,-2.8850282951520256e-06,-0.0005794950227837187,0.048585732681606486,2.023378769246305e-05,1.1102230246251565e-16,1.6140111081197624e-17,4.7771812339872675
fan_wang,0.5,0.14814814814814814,0.001,14.0,0.2829953253502675,-0.0005794950221555406,-2.8853559597141754e-06,-0.0005794950221555406,0.048586030566330075,2.023378811674692e-05,2.2215299868541707e-16,2.8419649446276285e-17,5.57278709522367
fan_wang,0.5,0.14814814814814814,0.001,16.0,0.28299589761681904,-0.0005794950201639115,-2.8860501359306845e-06,-0.0005794950201639115,0.04858613077518873,2.0233787486235652e-05,1.1188630228279524e-16,1.3464645461292834e-17,6.369645352012075
fan_wang,0.5,0.14814814814814814,0.002,10.0,0.28297891012619925,-0.0011590834948154438,-1.1538031492452916e-05,-0.0011590834948154438,0.0485848722065745,4.047083712818006e-05,2.220446049250313e-16,3.1468968056391766e-17,3.984143856506429
fan_wang,0.5,0.14814814814814814,0.002,12.0,0.28298496480974655,-0.0011590834940387595,-1.1542666305985883e-05,-0.0011590834940387595,0.048585931631147605,4.047083684493788e-05,2.220446049250313e-16,1.3445008588819147e-17,4.77743912408631
fan_wang,0.5,0.14814814814814814,0.002,14.0,0.2829866576734733,-0.0011590835004242628,-1.1553032753908177e-05,-0.0011590835004242628,0.0485862295217825,4.0470836713664415e-05,2.2247786310271853e-16,7.935117490356718e-18,5.573181520438146
fan_wang,0.5,0.14814814814814814,0.002,16.0,0.28298719805983774,-0.0011590834892161173,-1.1585607117226004e-05,-0.0011590834892161173,0.04858633007361249,4.047083732433912e-05,2.237726045655905e-16,2.0807803619089362e-17,6.370217547520406
fan_wang,0.5,0.14814814814814814,0.003,10.0,0.28296448284976894,-0.0017388588855926923,-2.596530792275953e-05,-0.0017388588855926923,0.048585204287567296,6.071441091425045e-05,2.237726045655905e-16,6.5627824140473084e-18,3.9844056655064852
fan_wang,0.5,0.14814814814814814,0.003,12.0,0.2829705108288024,-0.0017388588838418428,-2.5996647250114968e-05,-0.0017388588838418428,0.04858626359056708,6.0714410998460866e-05,4.449557262054371e-16,2.7335658926221474e-17,4.777869118193318
fan_wang,0.5,0.14814814814814814,0.003,14.0,0.282972104533002,-0.0017388588888101464,-2.6106173225237672e-05,-0.0017388588888101464,0.0485865625300999,6.0714410364808014e-05,3.3306690738754696e-16,2.6379777400251014e-18,5.573839259006585
fan_wang,0.5,0.14814814814814814,0.003,16.0,0.28297230812225305,-0.0017388588866766586,-2.6475544701920484e-05,-0.0017388588866766586,0.0485866668679018,6.071441019231405e-05,4.440892098500626e-16,2.5439331725451814e-17,6.371171887763006
fan_wang,0.5,0.14814814814814814,0.004,10.0,0.2829442654299487,-0.0023189146869024846,-4.618272774298271e-05,-0.0023189146869024846,0.04858566954058454,8.096777262896898e-05,6.684427777288335e-16,2.0564717420750873e-17,3.9847723598086167
fan_wang,0.5,0.14814814814814814,0.004,12.0,0.282950168625092,-0.002318914690541629,-4.63388509605589e-05,-0.002318914690541629,0.048586729864041125,8.096777255800491e-05,2.220446049250313e-16,2.1141942363467336e-17,4.7784714821438525
fan_wang,0.5,0.14814814814814814,0.004,14.0,0.2829512643393234,-0.0023189146955519546,-4.6946366903832804e-05,-0.0023189146955519546,0.048587034800423444,8.096777198279836e-05,2.3714374201337736e-16,4.470280076681873e-18,5.574760855543649
fan_wang,0.5,0.14814814814814814,0.004,16.0,0.28294976553130613,-0.002318914676592898,-4.901813564883728e-05,-0.002318914676592898,0.04858715868181107,8.096777169981639e-05,4.47545209131181e-16,7.890876742356109e-18,6.3725093938683
fan_wang,0.5,0.14814814814814814,0.005,10.0,0.28291821518749677,-0.002899344436423701,-7.22329701949298e-05,-0.002899344436423701,0.048586268666645276,0.00010123418722754463,6.661338147750939e-16,1.832911032933704e-17,3.9852441010554047
fan_wang,0.5,0.14814814814814814,0.005,12.0,0.2829236999985319,-0.0028993444333055285,-7.28074775206422e-05,-0.0028993444333055285,0.04858733387836385,0.00010123418763081926,4.449557262054371e-16,2.997421962654726e-17,4.779246587953151
fan_wang,0.5,0.14814814814814814,0.005,14.0,0.2829230941222353,-0.0028993444272153446,-7.511658399189658e-05,-0.0028993444272153446,0.04858765988556049,0.00010123418752187863,4.449557262054371e-16,2.7769124835677133e-18,5.575947072106488
fan_wang,0.5,0.14814814814814814,0.005,16.0,0.2829157689298498,-0.002899344418042016,-8.301473710514706e-05,-0.002899344418042016,0.048587850903526825,0.00010123418664056971,2.237726045655905e-16,4.271261210083258e-18,6.374231494487411
fan_wang,0.5,0.14814814814814814,0.006,10.0,0.28288624377260696,-0.0034802417285633713,-0.0001042043850847385,-0.0034802417285633713,0.04858700308758948,0.0001215169215504075,6.753223014464259e-16,1.8116236439988926e-17,3.98582109698807
fan_wang,0.5,0.14814814814814814,0.006,12.0,0.2828906101066034,-0.0034802417262655427,-0.0001058973694491594,-0.0034802417262655427,0.04858808265511644,0.00012151692203114794,2.220446049250313e-16,4.336808689942018e-19,4.780194913661676
fan_wang,0.5,0.14814814814814814,0.006,14.0,0.28288542857091936,-0.0034802417433653643,-0.00011278213530785397,-0.0034802417433653643,0.048588465805398814,0.00012151692335729547,2.220446049250313e-16,1.9569774129966377e-17,5.577398887791881
fan_wang,0.5,0.14814814814814814,0.006,16.0,0.2828624283976164,-0.0034802417330687674,-0.00013635526933858388,-0.0034802417330687674,0.04858883768644861,0.00012151692527639923,1.2412670766236366e-16,1.5570290778067972e-17,6.376340024867027
fan_wang,0.6,0.17777777777777776,0.002,10.0,0.49522112369175686,-0.0006489978814884778,-7.91518258702606e-06,-0.0006489978814884778,0.08909567296844463,2.5996286780946565e-05,1.3325567187647329e-15,7.589415207398531e-17,4.0031177529266255
fan_wang,0.6,0.17777777777777776,0.002,12.0,0.49522965214839426,-0.000648997882415403,-7.920533290406429e-06,-0.000648997882415403,0.08909724102292399,2.599628673123633e-05,6.667118051786499e-16,1.0012300346979443e-17,4.794377020080721
fan_wang,0.6,0.17777777777777776,0.002,14.0,0.49523204445901,-0.0006489978800184315,-7.930975746750502e-06,-0.0006489978800184315,0.08909768260546373,2.5996287189633538e-05,8.881784197001252e-16,2.1051398297025364e-18,5.588792475651873
fan_wang,0.6,0.17777777777777776,0.002,16.0,0.49523282094562815,-0.0006489978777883265,-7.963843168368179e-06,-0.0006489978777883265,0.08909783171474217,2.5996286285981385e-05,2.237726045655905e-16,1.5188507706449437e-18,6.38488723659496
fan_wang,0.6,0.17777777777777776,0.004,10.0,0.49519734798085524,-0.0012984391150036023,-3.1690893488645067e-05,-0.0012984391150036023,0.08909620631611359,5.201032839996511e-05,1.1116099371267112e-15,5.442694905877232e-17,4.0037449658003466
fan_wang,0.6,0.17777777777777776,0.004,12.0,0.49520572418954956,-0.0012984391124107875,-3.184849213511143e-05,-0.0012984391124107875,0.08909777508418643,5.201032850762899e-05,1.1102230246251565e-16,1.0356259197655566e-17,4.795409301995169
fan_wang,0.6,0.17777777777777776,0.004,14.0,0.49520752444797744,-0.001298439114195915,-3.2450986779286595e-05,-0.001298439114195915,0.08909822486842575,5.201032784332704e-05,6.661338147750939e-16,6.427846905316151e-17,5.590373105583286
fan_wang,0.6,0.17777777777777776,0.004,16.0,0.49520628059615024,-0.0012984391361228198,-3.4504192646278575e-05,-0.0012984391361228198,0.0890984014940105,5.2010327688173374e-05,4.47545209131181e-16,2.5213237493917618e-17,6.387181946647248
fan_wang,0.6,0.17777777777777776,0.006,10.0,0.4951574448020712,-0.0019487673360663038,-7.159407227269599e-05,-0.0019487673360663038,0.0890971008028042,7.805989291642668e-05,4.440892098500626e-16,1.471961680016039e-17,4.004791559220959
fan_wang,0.6,0.17777777777777776,0.006,12.0,0.49516429702555065,-0.0019487673304612319,-7.327565613401976e-05,-0.0019487673304612319,0.08909869166483683,7.805989316617135e-05,4.577566798522237e-16,1.4726004136889805e-17,4.797132621974292
fan_wang,0.6,0.17777777777777776,0.006,14.0,0.4951598832529607,-0.0019487673433369324,-8.009218179605426e-05,-0.0019487673433369324,0.08909923349331661,7.805989429712779e-05,1.1157603309187458e-15,3.4867510341210807e-17,5.593013325440667
fan_wang,0.6,0.17777777777777776,0.006,16.0,0.49513734146939925,-0.0019487673195390798,-0.00010344331939726725,-0.0019487673195390798,0.08909970292400052,7.805988818562759e-05,1.3334236103572998e-15,3.529906531158615e-17,6.391017402186326
fan_wang,0.7,0.20740740740740737,0.002,10.0,0.7961795727550465,-0.0003065178362833265,-4.801712408131209e-06,-0.0003065178362833265,0.14952227746209573,1.3731637053981949e-05,2.2887833992611187e-16,1.441988889405721e-17,4.021031984309023
fan_wang,0.7,0.20740740740740737,0.002,12.0,0.7961903837035362,-0.00030651783770530017,-4.807980036769521e-06,-0.00030651783770530017,0.1495243591286785,1.3731637777875116e-05,0.0,5.45629523359034e-17,4.810369989339517
fan_wang,0.7,0.20740740740740737,0.002,14.0,0.7961934239745633,-0.00030651783532231747,-4.818748306489873e-06,-0.00030651783532231747,0.1495249463010265,1.373163764931129e-05,8.899114524108741e-16,4.4161113015091864e-17,5.603527052413978
fan_wang,0.7,0.20740740740740737,0.002,16.0,0.7961944201732943,-0.00030651784250701475,-4.851426299690154e-06,-0.00030651784250701475,0.14952514470699288,1.3731636355734933e-05,6.661338147750939e-16,5.986720534363663e-18,6.39872591460801
fan_wang,0.7,0.20740740740740737,0.004,10.0,0.7961651381714062,-0.0006132641608491696,-1.923629604838606e-05,-0.0006132641608491696,0.1495227143291894,2.7473508734054963e-05,8.881784197001252e-16,1.496198998029996e-16,4.021657543485889
fan_wang,0.7,0.20740740740740737,0.004,12.0,0.7961757960419368,-0.0006132641470695255,-1.939564163622176e-05,-0.0006132641470695255,0.14952479647552988,2.7473509869757606e-05,3.3306690738754696e-16,2.0383000842727483e-17,4.81140171115404
fan_wang,0.7,0.20740740740740737,0.004,14.0,0.7961782495704718,-0.0006132641368559177,-1.9993152397979053e-05,-0.0006132641368559177,0.14952539288844666,2.747350819720662e-05,1.2262814116578437e-15,4.0913371354252115e-17,5.605108354158207
