model,ell_over_ell_ext,omega_M,strict_controls,delta_Rgg_real,delta_Rgg_imag,delta_Rgg_abs
hayward,0.6,0.5,0,-0.255015865522236,-1.0746823606259162,1.1045249059702307
hayward,0.6,0.50625,0,-0.2322062987951892,-1.0778994398771842,1.1026273022593391
hayward,0.6,0.5125,0,-0.21189511984780013,-1.0799250112038044,1.1005169565430832
hayward,0.6,0.51875,0,-0.1937916240109453,-1.0812830712527304,1.0985118450497184
hayward,0.6,0.525,0,-0.1775026230842658,-1.0823029119232963,1.0967619497226557
hayward,0.6,0.55,0,-0.12351252136464493,-1.08600632517781,1.093007356452857
hayward,0.6,0.575,0,-0.07583060850233231,-1.0850403345481037,1.0876869075161726
hayward,0.6,0.6,0,-0.03689065142828754,-1.0716453415698644,1.072280121176922
hayward,0.6,0.625,0,-0.013646961327493379,-1.0522679485224815,1.052356439159844
hayward,0.6,0.65,0,-0.002767358982664586,-1.035419075986897,1.0354227741330102
hayward,0.6,0.675,0,0.0015766695630584082,-1.0232756900991211,1.0232769047695465
hayward,0.6,0.7,0,0.002922593242227378,-1.0151151610070948,1.015119368181752
hayward,0.6,0.725,0,0.0030163395628368117,-1.0097479734417356,1.0097524786669505
hayward,0.6,0.75,0,0.0026337376067485097,-1.0062705886329308,1.0062740353012425
hayward,0.6,0.775,0,0.002128347718437726,-1.0040118679021237,1.0040141237812954
hayward,0.6,0.8,0,0.0016456015092405907,-1.0025663261584226,1.0025676766937601
hayward,0.6,0.4875,1,-0.3088266397806365,-1.0634317461034373,1.1073666836503637
hayward,0.9,0.1,0,0.3812183818119669,-2.8650511160743797e-07,0.3812183818120745
hayward,0.9,0.125,0,0.407824139826504,-1.7892102025796053e-06,0.4078241398304288
hayward,0.9,0.15,0,0.41610095380335144,-8.873507871258457e-06,0.41610095389796686
hayward,0.9,0.175,0,0.4058948253107143,-3.734879884378928e-05,0.40589482702905694
hayward,0.9,0.2,0,0.37804163950784847,-0.00013887689535527561,0.3780416650166673
