model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition,delta_k_real,delta_k_imag,k_metric_real,k_metric_imag
fan_wang,0.8,0.23703703703703705,0.003,1.2679851066497514,-4.33151181857269e-06,-0.00016074081311552007,1.2679807751379328,-0.00016074081311552007,1.2057349651584305e-08,1.6649001865773627e-08,0.048,40.24911250616011,10.06217635394694,-4.33151181857269e-06,-0.00016074081311552007,1.2679807751379328,-0.00016074081311552007
fan_wang,0.8,0.23703703703703705,0.004,1.2679851066497514,-6.653196560252104e-06,-0.00021437532076881637,1.267978453453191,-0.00021437532076881637,6.55796952739505e-08,9.055360427648685e-08,0.064,40.24911250616011,10.06217635394694,-6.653196560252104e-06,-0.00021437532076881637,1.267978453453191,-0.00021437532076881637
fan_wang,0.8,0.23703703703703705,0.005,1.2679851066497514,-6.935036175707929e-06,-0.0002680556307324649,1.2679781716135756,-0.0002680556307324649,2.490806779454355e-07,3.439350099046537e-07,0.08,40.24911250616011,10.06217635394694,-6.935036175707929e-06,-0.0002680556307324649,1.2679781716135756,-0.0002680556307324649
fan_wang,0.8,0.23703703703703705,0.006,1.2679851066497514,-9.377706721148211e-07,-0.00032179405431558196,1.2679841688790794,-0.00032179405431558196,7.416997445585541e-07,1.0241521385569262e-06,0.096,40.24911250616011,10.06217635394694,-9.377706721148211e-07,-0.00032179405431558196,1.2679841688790794,-0.00032179405431558196
fan_wang,0.9,0.26666666666666666,0.002,1.8040988168736625,6.073788880412268e-07,-1.842726168677315e-05,1.8040994242525505,-1.842726168677315e-05,8.795609395347193e-10,1.2145133173145793e-09,0.032,37.94720913284763,9.486707578131846,6.073788880412268e-07,-1.842726168677315e-05,1.8040994242525505,-1.842726168677315e-05
fan_wang,0.9,0.26666666666666666,0.004,1.8040988168736625,3.854474248877316e-06,-3.687652746549688e-05,1.8041026713479114,-3.687652746549688e-05,6.513069286766422e-08,8.993361380461505e-08,0.064,37.94720913284763,9.486707578131846,3.854474248877316e-06,-3.687652746549688e-05,1.8041026713479114,-3.687652746549688e-05
fan_wang,0.9,0.26666666666666666,0.006,1.8040988168736625,2.2583614823463788e-05,-5.5368189635073455e-05,1.804121400488486,-5.5368189635073455e-05,7.357363003712129e-07,1.015917709244474e-06,0.096,37.94720913284763,9.486707578131846,2.2583614823463788e-05,-5.5368189635073455e-05,1.804121400488486,-5.5368189635073455e-05
fan_wang,0.95,0.28148148148148144,0.001,2.1209913269687726,4.831236942317845e-07,-1.6729851524720456e-06,2.120991810092467,-1.6729851524720456e-06,3.37893716628505e-11,4.6656962608595765e-11,0.016,36.935091964129896,9.233681428120594,4.831236942317845e-07,-1.6729851524720456e-06,2.120991810092467,-1.6729851524720456e-06
fan_wang,0.95,0.28148148148148144,0.002,2.1209913269687726,1.951633199344129e-06,-3.3462340717814987e-06,2.120993278601972,-3.3462340717814987e-06,1.9063272527130274e-09,2.6322904207241396e-09,0.032,36.935091964129896,9.233681428120594,1.951633199344129e-06,-3.3462340717814987e-06,2.120993278601972,-3.3462340717814987e-06
fan_wang,0.95,0.28148148148148144,0.003,2.1209913269687726,4.596465117471181e-06,-5.0215765003388685e-06,2.12099592343389,-5.0215765003388685e-06,1.1267689009305945e-08,1.555862447053004e-08,0.048,36.935091964129896,9.233681428120594,4.596465117471181e-06,-5.0215765003388685e-06,2.12099592343389,-5.0215765003388685e-06
fan_wang,0.95,0.28148148148148144,0.004,2.1209913269687726,9.210089697292896e-06,-6.698442730556668e-06,2.1210005370584697,-6.698442730556668e-06,6.436710998953075e-08,8.887924504779133e-08,0.064,36.935091964129896,9.233681428120594,9.210089697292896e-06,-6.698442730556668e-06,2.1210005370584697,-6.698442730556668e-06
fan_wang,0.95,0.28148148148148144,0.005,2.1209913269687726,1.780702352245381e-05,-8.377633456262802e-06,2.121009133992295,-8.377633456262802e-06,2.461281769855593e-07,3.398581443073025e-07,0.08,36.935091964129896,9.233681428120594,1.780702352245381e-05,-8.377633456262802e-06,2.121009133992295,-8.377633456262802e-06
fan_wang,0.95,0.28148148148148144,0.006,2.1209913269687726,3.457396242239726e-05,-1.006130216526497e-05,2.121025900931195,-1.006130216526497e-05,7.334209969057081e-07,1.01272069722848e-06,0.096,36.935091964129896,9.233681428120594,3.457396242239726e-05,-1.006130216526497e-05,2.121025900931195,-1.006130216526497e-05
fan_wang,0.99,0.29333333333333333,0.002,2.3995985353534968,3.1247499582092875e-06,-7.480016137398591e-08,2.399601660103455,-7.480016137398591e-08,9.34820246165234e-09,1.290816346237357e-08,0.032,36.18122786429305,9.04521775916716,3.1247499582092875e-06,-7.480016137398591e-08,2.399601660103455,-7.480016137398591e-08
fan_wang,0.99,0.29333333333333333,0.004,2.3995985353534968,1.3743397324784966e-05,-1.3384012511226134e-07,2.3996122787508214,-1.3384012511226134e-07,6.636158796895739e-08,9.163325555260661e-08,0.064,36.18122786429305,9.04521775916716,1.3743397324784966e-05,-1.3384012511226134e-07,2.3996122787508214,-1.3384012511226134e-07
fan_wang,0.99,0.29333333333333333,0.006,2.3995985353534968,4.459347597781839e-05,-2.2899512102973327e-07,2.3996431288294744,-2.2899512102973327e-07,7.403155935243079e-07,1.0222408783034167e-06,0.096,36.18122786429305,9.04521775916716,4.459347597781839e-05,-2.2899512102973327e-07,2.3996431288294744,-2.2899512102973327e-07
