ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
0.0,0.0,0.005,16.0,-0.0002658126371703801,-0.01600969942175862,-0.0002658126779158901,-0.01600969942175862,-4.33276073268589e-12,-9.243660530656196e-16,0.0,1.7009813268828067e-30,6.262804583948099
0.0,0.0,0.006,10.0,-0.0003667089821317981,-0.019216731200520976,-0.0003667089593943482,-0.019216731200520976,-6.3442603201201236e-12,-1.5811213645713208e-15,2.7755575615628914e-17,2.837861321677958e-30,3.8517869263143214
0.0,0.0,0.006,12.0,-0.0003684860911325298,-0.01921673113747207,-0.0003684860747615659,-0.01921673113747207,-6.327166101823354e-12,-1.581134939367831e-15,0.0,3.8292270432112426e-30,4.6569181441459735
0.0,0.0,0.006,14.0,-0.00037571003711126504,-0.019216731147817658,-0.0003757100237416446,-0.019216731147817658,-6.27565263566043e-12,-1.5811497382358444e-15,0.0,1.2818989709841442e-30,5.46103560520045
0.0,0.0,0.006,16.0,-0.00040037030978176203,-0.019216731180894443,-0.0004003703505272721,-0.019216731180894443,-6.1558253092889815e-12,-1.5811658704962862e-15,1.1443916996305594e-16,2.908924588002481e-30,6.264851528995292
0.1,0.07698003589195011,0.002,10.0,-8.049034797442473e-05,-0.00633774882660704,-4.052769030869164e-05,-0.00633774882660704,0.0012865565634780495,0.0007060902301219481,0.0,1.2498457676080429e-17,3.852240363040252
0.1,0.07698003589195011,0.002,12.0,-8.049550195864851e-05,-0.006337748804902089,-4.053185618757359e-05,-0.006337748804902089,0.0012866209038451953,0.0007060902338550562,0.0,2.6627318892029817e-17,4.656594423241398
0.1,0.07698003589195011,0.002,14.0,-8.050606036298234e-05,-0.0063377488017873,-4.054209989409025e-05,-0.0063377488017873,0.0012866391154170982,0.0007060902347015417,2.2215299868541707e-16,1.6371452804531117e-17,5.4595196618743
0.1,0.07698003589195011,0.002,16.0,-8.05400595299369e-05,-0.006337748803180117,-4.0576029701981555e-05,-0.006337748803180117,0.0012866455701655254,0.0007060902338940735,1.1123893155135927e-16,1.6935779332544402e-17,6.261648392439216
0.1,0.07698003589195011,0.004,10.0,-0.00020209953333424294,-0.012679180703641713,-0.00016213687566850985,-0.012679180703641713,0.0012779253919836192,0.0014126127987745074,2.7755575615628914e-17,1.5277635887115302e-17,3.8528513619234825
0.1,0.07698003589195011,0.004,12.0,-0.00020226219361569459,-0.012679180660977321,-0.00016229854784461967,-0.012679180660977321,0.0012779836218251312,0.0014126128063700562,2.220446049250313e-16,3.084016843561866e-17,4.657595754948698
0.1,0.07698003589195011,0.004,14.0,-0.00020289803294102076,-0.012679180657097028,-0.00016293407247212866,-0.012679180657097028,0.0012780063438535643,0.0014126128079220267,2.220446049250313e-16,6.70261464651864e-17,5.4610528019025315
0.1,0.07698003589195011,0.004,16.0,-0.00020506461872687315,-0.012679180654622275,-0.0001651005888989178,-0.012679180654622275,0.001278034689736198,0.001412612808496763,1.1188630228279524e-16,1.7218004393000396e-17,6.263876951756382
0.1,0.07698003589195011,0.006,10.0,-0.000405056842825967,-0.019027980476929402,-0.0003650941851602339,-0.019027980476929402,0.0012635254214528881,0.0021200002906103985,0.0,3.122502256758253e-17,3.853870836062298
0.1,0.07698003589195011,0.006,12.0,-0.0004068353777792514,-0.01902798041779904,-0.00036687173200817646,-0.01902798041779904,0.0012635914791175606,0.0021200003025598755,0.0,1.3465075145383691e-17,4.659267296462417
0.1,0.07698003589195011,0.006,14.0,-0.00041406052446392363,-0.019027980424295,-0.00037409656399503154,-0.019027980424295,0.0012636880580683125,0.002120000304783281,0.0,3.8721654850494756e-17,5.463613516466076
0.1,0.07698003589195011,0.006,16.0,-0.00043872315323731847,-0.019027980445237073,-0.00039875912340936313,-0.019027980445237073,0.0012639581508703055,0.0021200003076340805,0.0,1.5178830414797062e-17,6.267601556313418
0.2,0.15396007178390023,0.002,10.0,-0.0006891365025267664,-0.006145462249358996,-3.995243670475916e-05,-0.006145462249358996,0.010679304429531519,0.001348585414262242,0.0,1.3674708089345436e-17,3.856912739100802
