model,ell_over_ell_ext,omega_M,strict_controls,delta_Rgg_real,delta_Rgg_imag,delta_Rgg_abs
bardeen,0.9,0.30000000000000004,0,-0.05149203011620962,-0.005318547525160977,0.05176597447422423
bardeen,0.9,0.3125,0,-0.11716340275343085,-0.00918930780355498,0.11752321610078208
bardeen,0.9,0.325,0,-0.1920718395599584,-0.01586349668925846,0.19272582099748992
bardeen,0.9,0.3375,0,-0.2784634715892368,-0.02741698645829707,0.2798099286229567
bardeen,0.9,0.35,0,-0.37915827397321844,-0.04752028787643087,0.382124553623827
bardeen,0.9,0.36250000000000004,0,-0.497212138288713,-0.08266150802063765,0.5040365417009764
bardeen,0.9,0.375,0,-0.6345083426413873,-0.14409005720382023,0.6506633395747147
bardeen,0.9,0.38750000000000007,0,-0.7875884646161561,-0.2500649770762048,0.8263341227109994
bardeen,0.9,0.4,0,-0.938038731585795,-0.42511874822912576,1.0298750468144113
bardeen,0.9,0.4125,0,-1.0388180732930756,-0.6858852762154731,1.2448219155885367
bardeen,0.9,0.42500000000000004,0,-1.019677930544072,-1.0031551457476084,1.4304067003752978
bardeen,0.9,0.4375,0,-0.849674312411991,-1.2799683991784363,1.5363155730735136
bardeen,0.9,0.45000000000000007,0,-0.5960923770858175,-1.4258574020340027,1.5454434486434552
bardeen,0.9,0.4625,0,-0.3600444186024688,-1.4425105500433555,1.4867644972735843
bardeen,0.9,0.475,0,-0.189220257072505,-1.3880544916513293,1.4008924218083325
bardeen,0.9,0.48750000000000004,0,-0.08132367163673526,-1.3115631585372938,1.3140819831352997
bardeen,0.9,0.5,0,-0.018456841816902606,-1.2372892400799873,1.2374268942558047
bardeen,0.9,0.5125000000000001,0,0.01562496036934058,-1.1735473418965257,1.1736513549853484
bardeen,0.9,0.525,0,0.032055582271251326,-1.1215678311395822,1.122025828669686
bardeen,0.9,0.5375,0,0.03776120333380263,-1.0800846957727834,1.0807445852373274
bardeen,0.9,0.55,0,0.03687112684469879,-1.0472431855604447,1.0478920601367232
bardeen,0.9,0.5625,0,0.03175660560203469,-1.0212981117304416,1.021791718024534
bardeen,0.9,0.5750000000000001,0,0.023672817735418194,-1.0008456357805426,1.0011255610364231
bardeen,0.9,0.5875,0,0.01312751783356414,-0.9849193093162638,0.9850067906306518
bardeen,0.9,0.6,0,0.00010003545546538595,-0.973117054205279,0.9731170593470512
bardeen,0.9,0.6125,0,-0.015729546341107264,-0.9658841358647939,0.9660122062082739
bardeen,0.9,0.625,0,-0.03438032256876461,-0.9650131998232649,0.9656254358772189
bardeen,0.9,0.6375,0,-0.05383409400172812,-0.9738526127024654,0.9753394388336836
bardeen,0.9,0.65,0,-0.06717873266127336,-0.9946942436026672,0.9969601899666091
bardeen,0.9,0.6625,0,-0.06484956439547115,-1.0212841833519892,1.0233410229084057
bardeen,0.9,0.675,0,-0.04762044122982423,-1.0395181094788093,1.0406082867041377
bardeen,0.9,0.6875,0,-0.027530786909449656,-1.0439467350936915,1.0443096906285183
bardeen,0.9,0.7000000000000001,0,-0.01251510555406983,-1.03990596554899,1.0399812714906969
bardeen,0.9,0.7125,0,-0.0032836289292544896,-1.033145626555116,1.0331508446925397
bardeen,0.9,0.725,0,0.0018530866492913467,-1.0264414081976099,1.0264430809318275
bardeen,0.9,0.7375,0,0.004477472303049929,-1.0206888143146895,1.0206986349679084
bardeen,0.9,0.75,0,0.0056346335923330715,-1.0160198709184793,1.0160354950477484
bardeen,0.9,0.7625000000000001,0,0.005953964002977097,-1.0123206128795843,1.0123381218487457
bardeen,0.9,0.775,0,0.0058065271584154254,-1.0094231612316653,1.009439861600764
bardeen,0.9,0.7875,0,0.005411368581597964,-1.0071681552146257,1.0071826923594143
bardeen,0.9,0.8,0,0.004898491276303929,-1.005420911690944,1.005432844541212
bardeen,0.97,0.1,0,0.32417431465592733,-4.2078947007362366e-08,0.32417431465593005
bardeen,0.97,0.1125,0,0.333005147723847,-1.1534196620033299e-07,0.33300514772386697
bardeen,0.97,0.125,0,0.33704843603894263,-2.944576504848584e-07,0.33704843603907125
bardeen,0.97,0.1375,0,0.3365256185033725,-7.089513230362776e-07,0.3365256185041192
bardeen,0.97,0.15000000000000002,0,0.33162100322895827,-1.6249029426429473e-06,0.33162100323293914
bardeen,0.97,0.1625,0,0.32249185127341334,-3.571064923324485e-06,0.3224918512931852
bardeen,0.97,0.17500000000000002,0,0.30927165401582335,-7.569000732256942e-06,0.3092716541084438
bardeen,0.97,0.1875,0,0.2920687662938749,-1.5545836497876664e-05,0.2920687667076012
bardeen,0.97,0.2,0,0.2709615441198002,-3.106451423362522e-05,0.2709615459005032
bardeen,0.97,0.21250000000000002,0,0.24599047213996372,-6.060262123575022e-05,0.24599047960504483
bardeen,0.97,0.225,0,0.21714721188041555,-0.00011577615507940564,0.21714724274453998
bardeen,0.97,0.23750000000000002,0,0.1843599392228834,-0.00021719105337747457,0.18436006715723155
bardeen,0.97,0.25,0,0.14747369502958807,-0.00040110746281074583,0.14747424050618693
bardeen,0.97,0.2625,0,0.10622368365151647,-0.0007309941235487116,0.10622619884428751
bardeen,0.97,0.275,0,0.06019846094834724,-0.0013176615001561642,0.06021288012027561
bardeen,0.97,0.2875,0,0.008788734859502323,-0.0023546218940639907,0.009098686976406915
bardeen,0.97,0.30000000000000004,0,-0.048883784587997914,-0.004180856191495441,0.04906224571031934
bardeen,0.97,0.3125,0,-0.11406361424166067,-0.007393664591647253,0.1143029937051701
bardeen,0.97,0.325,0,-0.18848800638552,-0.013054383783922097,0.18893952865180372
bardeen,0.97,0.3375,0,-0.27453078238613604,-0.02306802588226664,0.27549824735494943
bardeen,0.97,0.35,0,-0.3752980010488901,-0.04088767308428709,0.37751872986851953
bardeen,0.97,0.36250000000000004,0,-0.4944432260224516,-0.07280375769298228,0.4997744400164015
bardeen,0.97,0.375,0,-0.6349948364362075,-0.1301581377332761,0.6481971791969171
bardeen,0.97,0.38750000000000007,0,-0.7953196254415271,-0.23239380876295124,0.8285772076057862
bardeen,0.97,0.4,0,-0.9585359959393741,-0.4079633191449683,1.0417414867803179
bardeen,0.97,0.4125,0,-1.0743828683110497,-0.6808389154320623,1.2719434643438305
bardeen,0.97,0.42500000000000004,0,-1.0588025601271227,-1.0244217324218101,1.4732626198983847
bardeen,0.97,0.4375,0,-0.8687072078359588,-1.324797736419459,1.5842162905892208
bardeen,0.97,0.45000000000000007,0,-0.5853982084557956,-1.4715186585303117,1.5836850144097796
bardeen,0.97,0.4625,0,-0.3311183876552234,-1.4721799854216289,1.5089576853309778
bardeen,0.97,0.475,0,-0.15614278241178298,-1.4002518288786279,1.4089307125537565
bardeen,0.97,0.48750000000000004,0,-0.05150168149194967,-1.3113444844118205,1.3123554320357733
bardeen,0.97,0.5,0,0.005872144845866761,-1.2297083861555231,1.2297224065073842
bardeen,0.97,0.5125000000000001,0,0.034535335757455266,-1.1620435191650818,1.1625565921061427
bardeen,0.97,0.525,0,0.046354199475652474,-1.108184297259567,1.1091533476042477
bardeen,0.97,0.5375,0,0.048351861254345485,-1.0659492903133285,1.0670453561148412
bardeen,0.97,0.55,0,0.04454959519817231,-1.0329262220984965,1.0338864767134706
bardeen,0.97,0.5625,0,0.03716844715309431,-1.007024648950632,1.007710343827985
bardeen,0.97,0.5750000000000001,0,0.02732013426428892,-0.9865993081263186,0.9869774995062194
bardeen,0.97,0.5875,0,0.015370997270334863,-0.970463163802566,0.9705848854452508
bardeen,0.97,0.6,0,0.0011029653488196511,-0.9579373594800361,0.9579379944548314
bardeen,0.97,0.6125,0,-0.016233534324612442,-0.9490711534298518,0.9492099777759069
bardeen,0.97,0.625,0,-0.037773138561058794,-0.9452600408797087,0.9460144580716838
bardeen,0.97,0.6375,0,-0.06401618973860182,-0.9505397325201672,0.952692949301169
bardeen,0.97,0.65,0,-0.09061180206777536,-0.9723987024203438,0.9766113531711261
bardeen,0.97,0.6625,0,-0.10100073498745663,-1.0137775662609272,1.018796398855991
bardeen,0.97,0.675,0,-0.07937094790313726,-1.0533717693837383,1.0563578143345511
bardeen,0.97,0.6875,0,-0.04323526895428684,-1.066333706112547,1.0672098487520012
bardeen,0.97,0.7000000000000001,0,-0.016113126385173482,-1.0594886513376083,1.0596111716828436
bardeen,0.97,0.7125,0,-0.0011562393880126254,-1.047267119419868,1.0472677576949987
bardeen,0.97,0.725,0,0.006014892498759639,-1.035931770991706,1.0359492328689588
bardeen,0.97,0.7375,0,0.009008816709531908,-1.0268633317587528,1.0269028488076135
bardeen,0.97,0.75,0,0.009863422409104261,-1.0199336420190341,1.0199813337624526
bardeen,0.97,0.7625000000000001,0,0.009646558363636426,-1.0147153965268525,1.0147612487856001
bardeen,0.97,0.775,0,0.008917224950648422,-1.0108041038889741,1.0108434366110375
bardeen,0.97,0.7875,0,0.007972611487612968,-1.0078783160505618,1.00790984839858
bardeen,0.97,0.8,0,0.006972342994543079,-1.0056943234827371,1.0057184923487457
bardeen,0.6,0.1,1,0.3256275532679792,-4.4334530455159005e-07,0.325627553268281
bardeen,0.6,0.1125,1,0.3340434648640742,-1.0792608901022405e-06,0.3340434648658177
bardeen,0.6,0.125,1,0.33763741357116406,-2.451917745754928e-06,0.33763741358006694
bardeen,0.6,0.1375,1,0.3367704953848328,-5.269385459485965e-06,0.33677049542605736
bardeen,0.6,0.15000000000000002,1,0.33145722110147074,-1.0818413536593102e-05,0.3314572212780216
bardeen,0.6,0.1625,1,0.32189115974137084,-2.1385457338166103e-05,0.3218911604517628
bardeen,0.6,0.17500000000000002,1,0.3082292245575511,-4.093824026371595e-05,0.3082292272762088
bardeen,0.6,0.1875,1,0.29047473521030576,-7.62524405469589e-05,0.2904747452188089
bardeen,0.6,0.2,1,0.2687521446720957,-0.00013874951048727102,0.2687521804884152
bardeen,0.6,0.21250000000000002,1,0.24307381323049385,-0.0002474156531945444,0.24307393914798528
bardeen,0.6,0.225,1,0.21337057960001918,-0.00043360098266323824,0.21337102017064144
bardeen,0.6,0.23750000000000002,1,0.17959663980052465,-0.0007487062111346462,0.1795982004047646
bardeen,0.6,0.25,1,0.1415457997597404,-0.0012765143759735365,0.1415515556911212
bardeen,0.6,0.2625,1,0.09891151535463445,-0.0021535569335950494,0.09893495680100296
bardeen,0.6,0.275,1,0.05128700682337713,-0.003601911477501496,0.051413333243361004
bardeen,0.6,0.2875,1,-0.0019787296977153215,-0.0059831620204691405,0.006301872656584306
bardeen,0.6,0.30000000000000004,1,-0.06174582091604046,-0.009888432662838662,0.06253261150090594
bardeen,0.6,0.3125,1,-0.12913841023158967,-0.01628584454870832,0.13016127584580228
bardeen,0.6,0.325,1,-0.205637117919926,-0.02676627099031685,0.20737178575963663
bardeen,0.6,0.3375,1,-0.2929657098527849,-0.04394607883905893,0.29624342185924557
bardeen,0.6,0.35,1,-0.3928532218030977,-0.07209300642969385,0.39941338918111613
bardeen,0.6,0.36250000000000004,1,-0.5063049306228791,-0.11801942963689566,0.5198781285501983
bardeen,0.6,0.375,1,-0.631651624940165,-0.1920155175289594,0.6601921949413406
bardeen,0.6,0.38750000000000007,1,-0.760717662540662,-0.3077112836828804,0.820595878741232
bardeen,0.6,0.4,1,-0.8731562771384849,-0.4779073978350649,0.9953880475532252
bardeen,0.6,0.4125,1,-0.9337582349076841,-0.7021252742610048,1.1682826464576135
bardeen,0.6,0.42500000000000004,1,-0.9057024840845582,-0.9496703953525142,1.3123150724905739
bardeen,0.6,0.4375,1,-0.7826974424577645,-1.1627584066775,1.4016498845036602
bardeen,0.6,0.45000000000000007,1,-0.6041038630993103,-1.2948968950861113,1.4288804870650176
bardeen,0.6,0.4625,1,-0.42449182828873844,-1.3424369950353725,1.407952555281433
bardeen,0.6,0.475,1,-0.2773042973538262,-1.3320774186570459,1.360635117372368
bardeen,0.6,0.48750000000000004,1,-0.17015515436000767,-1.2931555046880427,1.3043020876546447
bardeen,0.6,0.5,1,-0.09736390856639443,-1.2452176787175506,1.2490183337653817
