model,ell_over_ell_ext,ell_over_M,omega_M,static_response_over_M5,direct_ratio_zero_real,direct_ratio_real,direct_ratio_imag,dynamic_response_over_M5,finite_frequency_correction_over_M5,static_match_residual,dynamic_match_residual,maximum_omega_r
bardeen,0.5,0.3849001794597505,0.002,0.18079938642996335,0.18079938642996335,0.18094877582207525,0.013005334510872829,0.18094877582207525,0.00014938939211189828,1.643555647135031e-08,6.01423156111117e-09,0.032
bardeen,0.5,0.3849001794597505,0.004,0.18079938642996335,0.18079938642996335,0.1813972025380431,0.02602033503130807,0.1813972025380431,0.0005978161080797406,1.643555647135031e-08,6.129526380190174e-09,0.064
bardeen,0.5,0.3849001794597505,0.006,0.18079938642996335,0.18079938642996335,0.1821447005905389,0.03905467485537966,0.1821447005905389,0.0013453141605755392,1.643555647135031e-08,7.1141335669032104e-09,0.096
bardeen,0.6,0.4618802153517006,0.002,0.37155860995217044,0.37155860995217044,0.37167815231183354,0.00898690457258733,0.37167815231183354,0.00011954235966310511,2.99569675732414e-08,1.1188030155131477e-08,0.032
bardeen,0.6,0.4618802153517006,0.004,0.37155860995217044,0.37155860995217044,0.37203722302911596,0.017981037470455534,0.37203722302911596,0.00047861307694552213,2.99569675732414e-08,1.125280735581848e-08,0.064
bardeen,0.6,0.4618802153517006,0.006,0.37155860995217044,0.37155860995217044,0.37263579822409426,0.026989633002845296,0.37263579822409426,0.0010771882719238235,2.99569675732414e-08,1.2143111302443299e-08,0.096
bardeen,0.7,0.5388602512436507,0.002,0.6808696587042783,0.6808696587042783,0.6809603526046023,0.005319020199290197,0.6809603526046023,9.069390032401259e-05,4.699139233288463e-08,1.745282196552149e-08,0.032
bardeen,0.7,0.5388602512436507,0.004,0.6808696587042783,0.6808696587042783,0.6812331116040308,0.010642844514697452,0.6812331116040308,0.0003634528997524811,4.699139233288463e-08,1.758822334989466e-08,0.064
bardeen,0.7,0.5388602512436507,0.006,0.6808696587042783,0.6808696587042783,0.6816878306552274,0.015976281520802726,0.6816878306552274,0.0008181719509491314,4.699139233288463e-08,1.8547764392536716e-08,0.096
bardeen,0.8,0.6158402871356009,0.002,1.1463767462082546,1.1463767462082546,1.1464435979911458,0.002403515937645422,1.1464435979911458,6.685178289123073e-05,6.443992295324108e-08,2.407511594363535e-08,0.032
bardeen,0.8,0.6158402871356009,0.004,1.1463767462082546,1.1463767462082546,1.1466450618840982,0.004809644979531672,1.1466450618840982,0.00026831567584362226,6.443992295324108e-08,2.4107731857231747e-08,0.064
bardeen,0.8,0.6158402871356009,0.006,1.1463767462082546,1.1463767462082546,1.1469809404851234,0.007221003113949554,1.1469809404851234,0.0006041942768688635,6.443992295324108e-08,2.5122260275517535e-08,0.096
bardeen,0.9,0.6928203230275509,0.002,1.8077356805332863,1.8077356805332863,1.8077891103310757,0.0005764588762961647,1.8077891103310757,5.342979778943935e-05,7.727045914229791e-08,2.894307602635511e-08,0.032
bardeen,0.9,0.6928203230275509,0.004,1.8077356805332863,1.8077356805332863,1.8079504734524432,0.0011538232985468099,1.8079504734524432,0.00021479291915693643,7.727045914229791e-08,2.9021259033319985e-08,0.064
bardeen,0.9,0.6928203230275509,0.006,1.8077356805332863,1.8077356805332863,1.8082194849952993,0.0017329999087597238,1.8082194849952993,0.0004838044620130155,7.727045914229791e-08,2.9977133694541444e-08,0.096
bardeen,0.95,0.731310340973526,0.002,2.2242243718044343,2.2242243718044343,2.224277290672925,0.00013459584332499658,2.224277290672925,5.291886849079219e-05,7.968794468737883e-08,2.987161276660813e-08,0.032
bardeen,0.95,0.731310340973526,0.004,2.2242243718044343,2.2242243718044343,2.2244371479154608,0.0002695155248023781,2.2244371479154608,0.0002127761110264359,7.968794468737883e-08,2.993844288109451e-08,0.064
bardeen,0.95,0.731310340973526,0.006,2.2242243718044343,2.2242243718044343,2.224703626992082,0.00040508389805019886,2.224703626992082,0.00047925518764779795,7.968794468737883e-08,3.082700007976647e-08,0.096
bardeen,0.99,0.762102355330306,0.002,2.6028648652696553,2.6028648652696553,2.602921566495743,4.698816777618416e-06,2.602921566495743,5.6701226087696455e-05,7.876456908917362e-08,2.9499561572239017e-08,0.032
bardeen,0.99,0.762102355330306,0.004,2.6028648652696553,2.6028648652696553,2.6030927518863978,9.434837588421902e-06,2.6030927518863978,0.00022788661674244537,7.876456908917362e-08,2.9476432411274625e-08,0.064
bardeen,0.99,0.762102355330306,0.006,2.6028648652696553,2.6028648652696553,2.603378093494416,1.4245287989335297e-05,2.603378093494416,0.0005132282247606312,7.876456908917362e-08,3.050634460966989e-08,0.096
hayward,0.0,0.0,0.002,2.2288871371141032e-10,2.2288871371141032e-10,0.000233817251256026,0.0256027572364176,0.000233817251256026,0.00023381702836731228,2.0190663102596683e-11,1.8171243003580728e-10,0.032
hayward,0.0,0.0,0.004,2.2288871371141032e-10,2.2288871371141032e-10,0.0009352873838314888,0.0512220602255925,0.0009352873838314888,0.0009352871609427751,2.0190663102596683e-11,3.130358633696213e-10,0.064
hayward,0.0,0.0,0.006,2.2288871371141032e-10,2.2288871371141032e-10,0.002104479136446818,0.07687446557005874,0.002104479136446818,0.0021044789135581045,2.0190663102596683e-11,5.248071287896575e-10,0.096
hayward,0.1,0.07698003589195011,0.002,0.00016866042777652457,0.00016866042777652457,0.0003996633285473895,0.025149457121409438,0.0003996633285473895,0.00023100290077086494,8.417332320520207e-11,2.1654931342155492e-10,0.032
hayward,0.1,0.07698003589195011,0.004,0.00016866042777652457,0.00016866042777652457,0.0010926915596710532,0.050315263824996855,0.0010926915596710532,0.0009240311318945287,8.417332320520207e-11,3.551805205376129e-10,0.064
hayward,0.1,0.07698003589195011,0.006,0.00016866042777652457,0.00016866042777652457,0.0022478177367197573,0.07551378050525437,0.0022478177367197573,0.002079157308943233,8.417332320520207e-11,3.988652852814634e-10,0.096
hayward,0.2,0.15396007178390023,0.002,0.0027034144543376334,0.0027034144543376334,0.0029258997450353004,0.023811717301423372,0.0029258997450353004,0.00022248529069766702,3.2536187719728327e-10,2.6388695886315306e-10,0.032
hayward,0.2,0.15396007178390023,0.004,0.0027034144543376334,0.0027034144543376334,0.0035933740989830066,0.04763919854685343,0.0035933740989830066,0.0008899596446453732,3.2536187719728327e-10,3.44942839601109e-10,0.064
hayward,0.2,0.15396007178390023,0.006,0.0027034144543376334,0.0027034144543376334,0.004705917556207761,0.07149821830744346,0.004705917556207761,0.0020025031018701274,3.2536187719728327e-10,4.1534906563803185e-10,0.096
hayward,0.3,0.2309401076758503,0.002,0.013727882892468072,0.013727882892468072,0.013935918864984796,0.021656301050485945,0.013935918864984796,0.0002080359725167239,1.1695881572265643e-09,6.386432029479685e-10,0.032
hayward,0.3,0.2309401076758503,0.004,0.013727882892468072,0.013727882892468072,0.014560038213922264,0.043327399279442416,0.014560038213922264,0.0008321553214541925,1.1695881572265643e-09,7.360037654240632e-10,0.064
hayward,0.3,0.2309401076758503,0.006,0.013727882892468072,0.013727882892468072,0.015600337913132128,0.0650281022390713,0.015600337913132128,0.0018724550206640558,1.1695881572265643e-09,1.3099519309979598e-10,0.096
hayward,0.4,0.30792014356780045,0.002,0.0435781950367185,0.0435781950367185,0.0437654827384083,0.018795484134892758,0.0437654827384083,0.0001872877016897978,3.91405698824121e-09,1.5594739703134736e-09,0.032
hayward,0.4,0.30792014356780045,0.004,0.0435781950367185,0.0435781950367185,0.04432732397848292,0.0376044328324338,0.04432732397848292,0.0007491289417644181,3.91405698824121e-09,1.638807989632344e-09,0.064
hayward,0.4,0.30792014356780045,0.006,0.0435781950367185,0.0435781950367185,0.045263844759549,0.056440320314722014,0.045263844759549,0.0016856497228304942,3.91405698824121e-09,7.326603418254899e-10,0.096
hayward,0.5,0.3849001794597505,0.002,0.10702084501065261,0.10702084501065261,0.10718057732735922,0.015388827827733828,0.10718057732735922,0.00015973231670661503,8.963515860105353e-09,3.573621167680792e-09,0.032
hayward,0.5,0.3849001794597505,0.004,0.10702084501065261,0.10702084501065261,0.10765969283383256,0.03078944474028928,0.10765969283383256,0.0006388478231799527,8.963515860105353e-09,3.5844449807514493e-09,0.064
hayward,0.5,0.3849001794597505,0.006,0.10702084501065261,0.10702084501065261,0.10845835624959642,0.0462136490998291,0.10845835624959642,0.0014375112389438116,8.963515860105353e-09,2.7084520125867925e-09,0.096
hayward,0.6,0.4618802153517006,0.002,0.22361393026431367,0.22361393026431367,0.22373868071546435,0.011646361175940534,0.22373868071546435,0.00012475045115067918,1.725881509928584e-08,6.674789725226595e-09,0.032
hayward,0.6,0.4618802153517006,0.004,0.22361393026431367,0.22361393026431367,0.22411274339813006,0.023302527335701092,0.22411274339813006,0.0004988131338163893,1.725881509928584e-08,6.581765387627627e-09,0.064
hayward,0.6,0.4618802153517006,0.006,0.22361393026431367,0.22361393026431367,0.2247363385617212,0.03497831193203035,0.2247363385617212,0.0011224082974075344,1.725881509928584e-08,5.648127395243601e-09,0.096
hayward,0.7,0.5388602512436507,0.002,0.41830451396108903,0.41830451396108903,0.4183861291175772,0.007834474940363677,0.4183861291175772,8.161515648819062e-05,2.9111106358836736e-08,1.1234354899943851e-08,0.032
hayward,0.7,0.5388602512436507,0.004,0.41830451396108903,0.41830451396108903,0.4186306327735413,0.015676511002004474,0.4186306327735413,0.0003261188124522585,2.9111106358836736e-08,1.107791873052635e-08,0.064
hayward,0.7,0.5388602512436507,0.006,0.41830451396108903,0.41830451396108903,0.41903831096289135,0.023533676649056284,0.41903831096289135,0.0007337970018023166,2.9111106358836736e-08,9.907782770582622e-09,0.096
