model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition,k_direct_real
hayward,0.6,0.4618802153517006,0.004,0.08293660719972173,-0.00015623496876798575,-0.009304184515965418,0.08278037223095375,-0.009304184515965418,6.97074949499307e-08,9.625334314889358e-08,0.064,33.94112438974985,8.485147366944483,0.08278037223095375
hayward,0.6,0.4618802153517006,0.006,0.08293660719972173,-0.00033651063043444167,-0.01396488137189631,0.0826000965692873,-0.01396488137189631,7.899991791034609e-07,1.0908448528839853e-06,0.096,33.94112438974985,8.485147366944483,0.0826000965692873
hayward,0.7,0.5388602512436507,0.002,0.1544001738412985,-3.768451198264825e-05,-0.0038374236224723583,0.15436248932931584,-0.0038374236224723583,1.2100617872418522e-09,1.6708747391280067e-09,0.032,33.9411239901331,8.485144182206275,0.15436248932931584
hayward,0.7,0.5388602512436507,0.004,0.1544001738412985,-0.00014919951122648734,-0.0076780937878736825,0.154250974330072,-0.0076780937878736825,6.98395783295424e-08,9.643572621796933e-08,0.064,33.9411239901331,8.485144182206275,0.154250974330072
hayward,0.7,0.5388602512436507,0.006,0.1544001738412985,-0.00032069167401910757,-0.011525259195123315,0.1540794821672794,-0.011525259195123315,7.902840224301785e-07,1.0912381695924673e-06,0.096,33.9411239901331,8.485144182206275,0.1540794821672794
hayward,0.8,0.6158402871356009,0.001,0.26498328989874687,-8.60291177022907e-06,-0.0013959720008255652,0.2649746869869766,-0.0013959720008255652,4.705576444291589e-11,6.497543263661956e-11,0.016,33.941123529173666,8.48514050750088,0.2649746869869766
hayward,0.8,0.6158402871356009,0.002,0.26498328989874687,-3.4386871727683974e-05,-0.002792309904074852,0.2649489030270192,-0.002792309904074852,1.2477803715929168e-09,1.7229572281668787e-09,0.032,33.941123529173666,8.48514050750088,0.2649489030270192
hayward,0.8,0.6158402871356009,0.003,0.26498328989874687,-7.713743504420037e-05,-0.004189379805792598,0.26490615246370264,-0.004189379805792598,1.2721185717741988e-08,1.7565638458701114e-08,0.048,33.941123529173666,8.48514050750088,0.26490615246370264
hayward,0.8,0.6158402871356009,0.004,0.26498328989874687,-0.00013601358397504306,-0.00558754785208099,0.26484727631477184,-0.00558754785208099,7.001796548369699e-08,9.668204635861967e-08,0.064,33.941123529173666,8.48514050750088,0.26484727631477184
hayward,0.8,0.6158402871356009,0.005,0.26498328989874687,-0.00020882801149027996,-0.006987180287716364,0.26477446188725656,-0.006987180287716364,2.6545849307047206e-07,3.66549786987078e-07,0.08,33.941123529173666,8.48514050750088,0.26477446188725656
hayward,0.8,0.6158402871356009,0.006,0.26498328989874687,-0.0002910388050012154,-0.008388643833098277,0.26469225109374567,-0.008388643833098277,7.907347953039175e-07,1.091860604757126e-06,0.096,33.941123529173666,8.48514050750088,0.26469225109374567
hayward,0.9,0.6928203230275509,0.002,0.42760331892076203,-2.8219715661989446e-05,-0.0014930501990608122,0.42757509920510006,-0.0014930501990608122,1.388503755685131e-09,1.9172705683403235e-09,0.032,33.94112300692998,8.485136342825117,0.42757509920510006
hayward,0.9,0.6928203230275509,0.004,0.42760331892076203,-0.00011135352502250456,-0.002988482696651708,0.4274919653957395,-0.002988482696651708,7.034257848581129e-08,9.713027773892995e-08,0.064,33.94112300692998,8.485136342825117,0.4274919653957395
hayward,0.9,0.6928203230275509,0.006,0.42760331892076203,-0.0002355822647530924,-0.004488682451778032,0.42736773665600897,-0.004488682451778032,7.914996399543769e-07,1.0929167157916246e-06,0.096,33.94112300692998,8.485136342825117,0.42736773665600897
hayward,0.95,0.731310340973526,0.001,0.5331517667648312,-5.76795142790262e-06,-0.0003775461758943124,0.5331459988134033,-0.0003775461758943124,1.2709687868603933e-10,1.7549762024759882e-10,0.016,33.941122722846906,8.485134076747245,0.5331459988134033
hayward,0.95,0.731310340973526,0.002,0.5331517667648312,-2.305366948556936e-05,-0.0007553340668252597,0.5331287130953457,-0.0007553340668252597,1.4553315375814074e-09,2.00954755272114e-09,0.032,33.941122722846906,8.485134076747245,0.5331287130953457
hayward,0.95,0.731310340973526,0.003,0.5331517667648312,-5.1640763987350305e-05,-0.0011336050608235174,0.5331001260008439,-0.0011336050608235174,1.3050858156831216e-08,1.8020855999210655e-08,0.048,33.941122722846906,8.485134076747245,0.5331001260008439
hayward,0.95,0.731310340973526,0.004,0.5331517667648312,-9.06944141310988e-05,-0.0015126013882525045,0.5330610723507001,-0.0015126013882525045,7.059243627089488e-08,9.74752857921537e-08,0.064,33.941122722846906,8.485134076747245,0.5330610723507001
hayward,0.95,0.731310340973526,0.005,0.5331517667648312,-0.00013803268323733808,-0.0018925645933153667,0.5330137340815939,-0.0018925645933153667,2.664051870592226e-07,3.678569988072398e-07,0.08,33.941122722846906,8.485134076747245,0.5330137340815939
hayward,0.95,0.731310340973526,0.006,0.5331517667648312,-0.00018912394363099615,-0.002273737996665103,0.5329626428212002,-0.002273737996665103,7.919927039620872e-07,1.0935975473027201e-06,0.096,33.941122722846906,8.485134076747245,0.5329626428212002
hayward,0.99,0.762102355330306,0.002,0.6311933446920934,-1.6580892004914547e-05,-0.00014570420962269805,0.6311767638000885,-0.00014570420962269805,1.4154615203594868e-09,1.9544943270679954e-09,0.032,33.94112248456721,8.485132175689339,0.6311767638000885
hayward,0.99,0.762102355330306,0.004,0.6311933446920934,-6.482387081667974e-05,-0.00029272498858438456,0.6311285208212768,-0.00029272498858438456,7.07264550287778e-08,9.766034126571471e-08,0.064,33.94112248456721,8.485132175689339,0.6311285208212768
hayward,0.99,0.762102355330306,0.006,0.6311933446920934,-0.00013095334125411216,-0.00044237193502017494,0.6310623913508393,-0.00044237193502017494,7.929443916087784e-07,1.0949116544542363e-06,0.096,33.94112248456721,8.485132175689339,0.6310623913508393
