model,ell_over_ell_ext,omega_M,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,delta_real,delta_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual
hayward,0.5,0.0055,1.8859049961570225,-0.37895274910390636,0.008134253403244305,-0.37861653606928225,0.0,0.000336213034624111,-0.008134253403244305,1.8862412091916465,-0.008134253403244305,3.51474228882913e-07,4.853218378446408e-07
hayward,0.5,0.006,1.8859049961570225,-0.37897944196159067,0.008875224217468208,-0.37861653606928225,0.0,0.0003629058923084183,-0.008875224217468208,1.886267902049331,-0.008875224217468208,5.98536819703239e-07,8.264702373181304e-07
hayward,0.9,0.0,6.020093685634705,nan,0.0,nan,0.0,0.0,0.0,6.020093685634705,0.0,0.0,0.0
hayward,0.9,0.0005,6.020093685634705,1.0673782231752662,0.00015282907673537809,1.0685238173244396,0.0,0.0011455941491733679,-0.00015282907673537809,6.021239279783878,-0.00015282907673537809,5.965927581814795e-10,8.237858427512916e-10
hayward,0.9,0.001,6.020093685634705,1.0673614151665856,0.0003056739110237555,1.0685238173244396,0.0,0.0011624021578540145,-0.0003056739110237555,6.021256087792558,-0.0003056739110237555,2.2261061334996504e-09,3.073846760783868e-09
hayward,0.9,0.0015,6.020093685634705,1.0673333976160433,0.0004585501247639496,1.0685238173244396,0.0,0.0011904197083962842,-0.0004585501247639496,6.021284105343101,-0.0004585501247639496,4.880031472292287e-09,6.738433854495344e-09
hayward,0.9,0.002,6.020093685634705,1.0672941619031637,0.0006114734486519383,1.0685238173244396,0.0,0.0012296554212758437,-0.0006114734486519383,6.0213233410559805,-0.0006114734486519383,8.136002513350869e-09,1.123433631266377e-08
hayward,0.9,0.0025,6.020093685634705,1.067243681513947,0.0007644596733278699,1.0685238173244396,0.0,0.0012801358104925775,-0.0007644596733278699,6.021373821445197,-0.0007644596733278699,1.0802747855174747e-08,1.4916625493530738e-08
hayward,0.9,0.003,6.020093685634705,1.067181899102739,0.0009175243857196394,1.0685238173244396,0.0,0.0013419182217004888,-0.0009175243857196394,6.021435603856405,-0.0009175243857196394,1.0492284317555618e-08,1.4487931944247992e-08
hayward,0.9,0.0035,6.020093685634705,1.0671087175118834,0.0010706835081188723,1.0685238173244396,0.0,0.0014150998125561642,-0.0010706835081188723,6.021508785447261,-0.0010706835081188723,3.1635595770868618e-09,4.368299072812972e-09
hayward,0.9,0.004,6.020093685634705,1.067023970702282,0.0012239525978307748,1.0685238173244396,0.0,0.00149984662215763,-0.0012239525978307748,6.021593532256862,-0.0012239525978307748,1.809945175845592e-08,2.4992043425960296e-08
hayward,0.9,0.0045,6.020093685634705,1.066927407690558,0.0013773475124861571,1.0685238173244396,0.0,0.0015964096338816347,-0.0013773475124861571,6.021690095268586,-0.0013773475124861571,6.405557879533799e-08,8.844907725922986e-08
hayward,0.9,0.005,6.020093685634705,1.066818663887151,0.0015308840732891848,1.0685238173244396,0.0,0.001705153437288498,-0.0015308840732891848,6.021798839071993,-0.0015308840732891848,1.4970907272689454e-07,2.0672093811453394e-07
hayward,0.9,0.0055,6.020093685634705,1.0666972309333957,0.001684577597953888,1.0685238173244396,0.0,0.0018265863910438274,-0.001684577597953888,6.021920272025748,-0.001684577597953888,2.9652027255233514e-07,4.0944044202217184e-07
hayward,0.9,0.006,6.020093685634705,1.0665624262774442,0.0018384443713101498,1.0685238173244396,0.0,0.001961391046995331,-0.0018384443713101498,6.0220550766817,-0.0018384443713101498,5.330928946845848e-07,7.361041070138463e-07
hayward,0.97,0.0,6.965891425695239,nan,0.0,nan,0.0,0.0,0.0,6.965891425695239,0.0,0.0,0.0
hayward,0.97,0.0005,6.965891425695239,1.4258235282928167,4.889796060298133e-05,1.427459207603685,0.0,0.0016356793108682766,-4.889796060298133e-05,6.967527105006107,-4.889796060298133e-05,6.37250110572558e-10,8.799262347444484e-10
hayward,0.97,0.001,6.965891425695239,1.425803120637543,9.780702520947353e-05,1.427459207603685,0.0,0.0016560869661419453,-9.780702520947353e-05,6.9675475126613815,-9.780702520947353e-05,2.7048075037379853e-09,3.734846087882863e-09
hayward,0.97,0.0015,6.965891425695239,1.4257691077882668,0.00014673888103381127,1.427459207603685,0.0,0.0016900998154181224,-0.00014673888103381127,6.967581525510657,-0.00014673888103381127,6.397896610869916e-09,8.834328910543627e-09
