model,ell_over_ell_ext,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
hayward,0.2,0.002,14.0,-0.8889217358195098,0.004047180941583614,1.1129741251392211e-05,0.004047180941583614,-0.02295552640295058,-0.00019060336991455018,6.938893903907228e-18,6.477005680765793e-19,5.602086278223459
hayward,0.2,0.002,16.0,-0.8889505879790572,0.004047180928124457,1.1145274380397474e-05,0.004047180928124457,-0.023005650774880114,-0.00019060338648178962,0.0,2.000504619092383e-19,6.410656581765557
hayward,0.2,0.004,10.0,-0.8886237562654083,0.008096810431566404,4.4678223615091106e-05,0.008096810431566404,-0.02264383913689878,-0.0003813180622969936,0.0,8.538092108323347e-19,3.975691261070409
hayward,0.2,0.004,12.0,-0.8888186095354608,0.008096809598586566,4.469644280924445e-05,0.008096809598586566,-0.022852897647637645,-0.00038131889243612203,2.2247786310271853e-16,1.139702267111296e-18,4.791851217805566
hayward,0.2,0.004,14.0,-0.8888877273887301,0.008096809473149585,4.51381720311117e-05,0.008096809473149585,-0.022949941571288664,-0.00038131904189209957,2.237726045655905e-16,1.1126286389490977e-18,5.603743213503013
hayward,0.2,0.004,16.0,-0.8889149161216661,0.008096809444868194,4.681713177157043e-05,0.008096809444868194,-0.022999992847175035,-0.0003813191592206269,2.2247786310271853e-16,7.250602028496811e-19,6.413048885383493
hayward,0.2,0.006,10.0,-0.8885676743963488,0.012151335951263581,0.00010076009267467878,0.012151335951263581,-0.02263519995250037,-0.0005722580739878891,0.0,1.843342984321061e-19,3.976811359695518
hayward,0.2,0.006,12.0,-0.8887613447648602,0.012151334704797123,0.0001019612134097736,0.012151334704797123,-0.022843868668214445,-0.0005722593326514982,1.1102230246251565e-16,3.9465554789455714e-19,4.793672064480007
hayward,0.2,0.006,14.0,-0.8888252320471491,0.012151334528275534,0.00010763351361209317,0.012151334528275534,-0.022940761823214844,-0.0005722595462103333,2.237726045655905e-16,1.5487876418821047e-18,5.606511047210094
hayward,0.2,0.006,16.0,-0.8888345673081756,0.012151334510397974,0.00012716594526207547,0.012151334510397974,-0.022990978768112142,-0.0005722596202420512,0.0,1.4541678495049689e-18,6.417047745439289
hayward,0.4,0.002,10.0,-0.5991676807602825,0.0034102951142094273,-2.9766117969343142e-06,0.0034102951142094273,-0.18362992960108415,-0.0003224737411133549,2.2247786310271853e-16,2.6754337137143444e-18,3.98027235163668
hayward,0.4,0.002,12.0,-0.5992930308660762,0.0034102947581508974,-3.0786436775454007e-06,0.0034102947581508974,-0.18432475245842078,-0.00032247440340863777,1.1188630228279524e-16,4.2690460541616737e-19,4.794342310482394
hayward,0.4,0.002,14.0,-0.5993358127433015,0.003410294702265268,-3.1270204108313493e-06,0.003410294702265268,-0.1846398758341418,-0.00032247452433179294,1.1102230246251565e-16,2.7477748808929503e-18,5.604803644447932
hayward,0.4,0.002,16.0,-0.5993527893448923,0.0034102946933982914,-3.133148508527306e-06,0.0034102946933982914,-0.18479923909086615,-0.0003224746059477465,2.2247786310271853e-16,5.717817471050023e-19,6.412853520869908
hayward,0.4,0.004,10.0,-0.5991765884795235,0.00682282737210238,-1.1884331037936846e-05,0.00682282737210238,-0.18362829686941176,-0.0006451542388169543,2.2247786310271853e-16,1.0842021724855044e-18,3.9809434162434774
hayward,0.4,0.004,12.0,-0.5993021257077956,0.006822826660694559,-1.2173485396949069e-05,0.006822826660694559,-0.18432288680032244,-0.0006451555577943885,2.220446049250313e-16,9.683183442303931e-19,4.795433224768803
hayward,0.4,0.004,14.0,-0.5993445724220432,0.006822826554409633,-1.1886699152530156e-05,0.006822826554409633,-0.18463788389159133,-0.0006451558222051353,2.2247786310271853e-16,1.1175700191704681e-19,5.606461133256181
hayward,0.4,0.004,16.0,-0.5993599505600737,0.006822826534168797,-1.0294363689933306e-05,0.006822826534168797,-0.18479721049744782,-0.000645155872420651,1.3877787807814457e-17,1.4676830031998878e-18,6.415246610459515
hayward,0.4,0.006,10.0,-0.5991912026217612,0.010239835239069073,-2.649847327562682e-05,0.010239835239069073,-0.1836255886599998,-0.0009682483469429064,1.1443916996305594e-16,6.2341624917916505e-19,3.982063211023492
hayward,0.4,0.006,12.0,-0.5993159411302273,0.010239834172756507,-2.598890782867791e-05,0.010239834172756507,-0.1843198434340314,-0.0009682503465874362,1.1443916996305594e-16,8.677851511149104e-19,4.797254504346078
hayward,0.4,0.006,14.0,-0.5993533516372387,0.01023983402479181,-2.066591434801701e-05,0.01023983402479181,-0.18463481905798107,-0.0009682507799976051,2.237726045655905e-16,2.881306796001149e-19,5.609229894045341
hayward,0.4,0.006,16.0,-0.5993509860419793,0.010239834001482734,-1.3298455955323973e-06,0.010239834001482734,-0.18479466808281322,-0.000968250762863207,2.220446049250313e-16,2.1792193963256754e-18,6.4192467870267205
hayward,0.5,0.002,10.0,-0.3785008097488672,0.0029556396124856,-1.3859438424301818e-05,0.0029556396124856,-0.35966734317748966,-0.0003504258554576957,2.2247786310271853e-16,1.3325656282941258e-18,3.9841241259635916
hayward,0.5,0.002,12.0,-0.378605731050383,0.00295563929738768,-1.402699797847795e-05,0.00295563929738768,-0.36078770934283777,-0.00035042652440442357,6.938893903907228e-18,3.2085608041992897e-18,4.79697057902486
hayward,0.5,0.002,14.0,-0.3786399992624047,0.002955639251709219,-1.4108383179667339e-05,0.002955639251709219,-0.3612923298988272,-0.00035042663862281526,2.2215299868541707e-16,1.4365678785432934e-18,5.606797158069022
hayward,0.5,0.002,16.0,-0.37865295457005743,0.002955639244970193,-1.4132806819944221e-05,0.002955639244970193,-0.3615459928988962,-0.00035042670824162597,1.3877787807814457e-17,6.664550826335744e-19,6.414464488338425
hayward,0.5,0.004,10.0,-0.37854236450615225,0.005913356013751703,-5.541419570936901e-05,0.005913356013751703,-0.35967335451500326,-0.000701092821252941,1.1188630228279524e-16,2.435574272903474e-18,3.9847950411778426
hayward,0.5,0.004,12.0,-0.3786476694361967,0.005913355382380137,-5.596538379221139e-05,0.005913355382380137,-0.36079367305029175,-0.0007010942014888805,1.1188630228279524e-16,1.1248597539537109e-18,4.798061669236311
hayward,0.5,0.004,14.0,-0.3786817016560571,0.005913355287944733,-5.5810776832032616e-05,0.005913355287944733,-0.36129829018242277,-0.0007010945455556278,4.440892098500626e-16,2.656295322589486e-18,5.608455040052173
hayward,0.5,0.004,16.0,-0.37869311383725446,0.005913355256835173,-5.429207401697056e-05,0.005913355256835173,-0.36155201525866026,-0.0007010948044817791,1.1443916996305594e-16,3.577969838389359e-19,6.416858141243255
hayward,0.5,0.006,10.0,-0.3786113855862916,0.008875227306562594,-0.00012443527584871106,0.008875227306562594,-0.3596833899442544,-0.001052242144662728,2.237726045655905e-16,7.047314121155779e-19,3.9859145883722316
hayward,0.5,0.006,12.0,-0.37871621931870436,0.008875226363737165,-0.00012451526629986276,0.008875226363737165,-0.36080369480863494,-0.0010522441854183343,5.551115123125783e-17,6.52776150125814e-19,4.799883244199758
hayward,0.5,0.006,14.0,-0.3787453809444532,0.008875226221921939,-0.00011949006522815608,0.008875226221921939,-0.3613085414577261,-0.0010522447738361904,5.551115123125783e-17,7.047314121155779e-19,5.611224459417063
hayward,0.5,0.006,16.0,-0.3787391426574451,0.008875226210706355,-0.00010032089420763945,0.008875226210706355,-0.36156308613081073,-0.0010522450312478102,4.440892098500626e-16,2.656295322589486e-18,6.420859261422884
hayward,0.6,0.002,10.0,-0.104531402017821,0.0024276003400153234,-2.748931354594475e-05,0.0024276003400153234,-0.6230984596892049,-0.0003467463336467094,4.460365043975677e-16,2.604351804574927e-18,3.9887382487168694
hayward,0.6,0.002,12.0,-0.10464822419834291,0.0024276000686671018,-2.7746060430822173e-05,0.0024276000686671018,-0.6248023452868934,-0.0003467469699951001,4.443059973708341e-16,1.683188954477194e-19,4.800120586133361
hayward,0.6,0.002,14.0,-0.10468555496332191,0.002427600026754184,-2.787241973004062e-05,0.002427600026754184,-0.6255668139730799,-0.0003467471971031269,1.1102230246251565e-16,0.0,5.609185808793773
hayward,0.6,0.002,16.0,-0.1046992847016827,0.0024276000176705614,-2.792173923531205e-05,0.0024276000176705614,-0.6259497401571698,-0.00034674725877104073,2.2247786310271853e-16,3.0309296048282375e-18,6.416393914825154
hayward,0.6,0.004,10.0,-0.10461384461308824,0.00485707822975967,-0.00010993190881318504,0.00485707822975967,-0.6231172798894423,-0.0006937558869523908,2.237726045655905e-16,4.58588362479686e-18,3.989408968781169
hayward,0.6,0.004,12.0,-0.10473131781515999,0.004857077690566203,-0.00011083967724789812,0.004857077690566203,-0.6248214553061877,-0.0006937571550765798,2.237726045655905e-16,2.4220758647433977e-18,4.801211872768641
hayward,0.6,0.004,14.0,-0.10476854749482846,0.004857077610006533,-0.00011086495123659168,0.004857077610006533,-0.6255861387965865,-0.0006937574869131241,1.2412670766236366e-16,2.989430681940366e-18,5.610844148047041
hayward,0.6,0.004,16.0,-0.10478080919825403,0.0048570775975601554,-0.00010944623580663726,0.0048570775975601554,-0.6259692853489617,-0.0006937573796676338,2.7755575615628914e-17,5.421010862427522e-19,6.418788228539722
hayward,0.6,0.006,10.0,-0.10475100623627945,0.007290312513194452,-0.00024709353200438877,0.007290312513194452,-0.6231486669269868,-0.0010412920859174946,3.433175098891678e-16,3.892572694516993e-18,3.9905281923755838
hayward,0.6,0.006,12.0,-0.1048684539941169,0.007290311708107344,-0.0002479758562048129,0.007290311708107344,-0.6248534038320727,-0.0010412939846877467,2.220446049250313e-16,2.168404344971009e-18,4.803033777680481
hayward,0.6,0.006,14.0,-0.10490103838912909,0.007290311595549381,-0.00024335584553722422,0.007290311595549381,-0.6256187281071626,-0.0010412943473651348,2.237726045655905e-16,7.547674805973367e-18,5.613614333419247
hayward,0.6,0.006,16.0,-0.1048957765833117,0.007290311576950259,-0.00022441362086431105,0.007290311576950259,-0.6260031018733749,-0.0010412949478145195,1.2412670766236366e-16,1.0185154709677554e-18,6.422790455703894
hayward,0.7,0.002,10.0,0.2255259871965536,0.0018442679299065512,-4.407505522996402e-05,0.0018442679299065512,-0.9920828810481229,-0.00030885755030865547,4.440892098500626e-16,2.4879132704032526e-19,3.9940688975923555
hayward,0.7,0.002,12.0,0.22534290999938333,0.001844267713226655,-4.4449912121269364e-05,0.001844267713226655,-0.9945499536856026,-0.000308858051239258,2.220446049250313e-16,7.426784881525705e-18,4.803761591374172
hayward,0.7,0.002,14.0,0.22528287062280275,0.001844267681586187,-4.4635829968581175e-05,0.001844267681586187,-0.9956552323117287,-0.0003088582477164814,2.220446049250313e-16,1.8275822813942304e-18,5.611945906256946
hayward,0.7,0.002,16.0,0.2252601529874297,0.0018442676688064097,-4.47184950843893e-05,0.0018442676688064097,-0.9962080324723319,-0.0003088580706542554,3.3422138886441676e-16,4.607859233063394e-19,6.4186222038658824
hayward,0.7,0.004,10.0,0.22539378953822112,0.0036901725862859003,-0.00017627271356243646,0.0036901725862859003,-0.9921204970230294,-0.0006179848844716784,2.2887833992611187e-16,1.5786221915782286e-18,3.9947393706893086
hayward,0.7,0.004,12.0,0.2252097068622387,0.003690172150055293,-0.00017765304926589676,0.003690172150055293,-0.9945883708813699,-0.0006179859750206074,5.551115123125783e-17,1.6805133673525319e-18,4.80485308603669
hayward,0.7,0.004,14.0,0.22514958975250385,0.0036901720838353747,-0.00017791670026748307,0.0036901720838353747,-0.995694193508182,-0.0006179864463968787,2.220446049250313e-16,1.2690261071493108e-18,5.613604755783251
