ell_over_ell_ext,ell,Momega,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,k_dynamic_real,k_dynamic_imag,delta_k_real,delta_k_imag,window_fit_rms,window_max_residual,maximum_omega_r
0.95,0.731310340973526,0.002,3.083217838258705,-0.11313896182882836,0.00017946194183252268,-0.11310386572556794,0.0,3.0831775842042055,-0.00017946194183252268,-4.025405449947783e-05,-0.00017946194183252268,3.729426382516987e-09,5.149657975854841e-09,0.032
0.99,0.762102355330306,0.002,3.626768189029337,-0.09551168162858499,3.4999797958444426e-05,-0.09556850228438796,0.0,3.6267275754741664,-3.4999797958444426e-05,-4.0613555170487814e-05,-3.4999797958444426e-05,4.705552922231762e-09,6.4975107835370065e-09,0.032
0.0,0.0,0.004,0.0,-0.9846918732175834,0.008536687351248256,-0.9843280577470465,0.0,-6.179237658363803e-05,-0.008536687351248256,-6.179237658363803e-05,-0.008536687351248256,5.5950200812754694e-08,7.725702784110432e-08,0.064
0.1,0.07698003589195011,0.004,0.0008532848533869884,-0.9676168204320411,0.008397751568013118,-0.9672615070080797,0.0,0.0007905774501974051,-0.008397751568013118,-6.270740318958334e-05,-0.008397751568013118,5.6030803763898524e-08,7.73683258230323e-08,0.064
0.2,0.15396007178390023,0.004,0.00794594636782332,-0.9174465414139078,0.00798759301415598,-0.9171150349951105,0.0,0.007880352780376434,-0.00798759301415598,-6.559358744688548e-05,-0.00798759301415598,5.625932437272378e-08,7.768387112550658e-08,0.064
0.3,0.2309401076758503,0.004,0.03486408588465715,-0.8373297283377128,0.007326083116172398,-0.8370326716538581,0.0,0.03479325300900678,-0.007326083116172398,-7.08328756503715e-05,-0.007326083116172398,5.6650504008319064e-08,7.822401889189679e-08,0.064
0.4,0.30792014356780045,0.004,0.10420564304165504,-0.7324591275427541,0.0064460977351576765,-0.7322008372334559,0.0,0.1041267197980702,-0.0064460977351576765,-7.892324358484137e-05,-0.0064460977351576765,5.7218687429347204e-08,7.900857661895022e-08,0.064
0.5,0.3849001794597505,0.004,0.24749631053450952,-0.6099815347268133,0.005393182301904225,-0.6097604895146952,0.0,0.24740603787201806,-0.005393182301904225,-9.027266249145294e-05,-0.005393182301904225,5.796328102552059e-08,8.003672463905712e-08,0.064
0.6,0.4618802153517006,0.004,0.5050403320994054,-0.4788540262048938,0.0042251664686622755,-0.47866630334771115,0.0,0.5049354181135505,-0.0042251664686622755,-0.00010491398585488199,-0.0042251664686622755,5.889652646360415e-08,8.132536646240725e-08,0.064
0.7,0.5388602512436507,0.004,0.9256747010331015,-0.34961909159703064,0.003011895848678622,-0.34946552571761574,0.0,0.9255525590067566,-0.003011895848678622,-0.0001221420263448625,-0.003011895848678622,6.009389339879231e-08,8.297871192502143e-08,0.064
0.8,0.6158402871356009,0.004,1.5663862815145428,-0.23403857239215148,0.0018355584726907409,-0.2339363111456923,0.0,1.566246202590674,-0.0018355584726907409,-0.00014007892386880272,-0.0018355584726907409,6.162499395121731e-08,8.509288267488954e-08,0.064
0.9,0.6928203230275509,0.004,2.4917423799395757,-0.14442666149285047,0.0007932768226093478,-0.14442568602850633,0.0,2.4915872363526566,-0.0007932768226093478,-0.00015514358691914865,-0.0007932768226093478,6.383016550697242e-08,8.813782260005154e-08,0.064
0.95,0.731310340973526,0.004,3.083217838258705,-0.11301938952146151,0.0003593207500555411,-0.11310386572556794,0.0,3.0830580118968385,-0.0003593207500555411,-0.00015982636186651078,-0.0003593207500555411,6.522428686666619e-08,9.006285005555597e-08,0.064
0.99,0.762102355330306,0.004,3.626768189029337,-0.09539099500409005,7.023811664738849e-05,-0.09556850228438796,0.0,3.6266068888496714,-7.023811664738849e-05,-0.00016130017966542454,-7.023811664738849e-05,6.627113096968463e-08,9.150835092663043e-08,0.064
