model,parity,ell_over_ell_ext,ell_over_M,k2_static_direct,metric_response_ratio,canonical_local_term,horizon_response_term,window_fit_rms,series_order,log_order,match_radii_over_M,horizon_offset_over_M,relative_tolerance,absolute_tolerance
fan_wang,polar,0.6,0.17777777777777776,1.3045117087652918,-1.3045117087652918,1.4118960488544372,-2.716407757619729,4.0527000765099813e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,polar,0.8,0.23703703703703705,3.1628647295107695,-3.1628647295107695,0.3050226888002648,-3.4678874183110344,9.017003003750895e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,polar,0.95,0.28148148148148144,5.381842816527719,-5.381842816527719,-1.289329561934156,-4.0925132545935625,1.6001925266258082e-06,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,axial,0.1,0.02962962962962963,0.002481442011998087,0.002481442011998087,0.00033608315074241924,0.002145358861255668,7.763694589583222e-10,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,axial,0.15,0.04444444444444444,0.00837556949761319,0.00837556949761319,0.0010838879183616718,0.007291681579251517,2.3809940038671543e-09,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,axial,0.2,0.05925925925925926,0.01985412212710502,0.01985412212710502,0.0024497664070383396,0.01740435572006668,5.24268204623557e-09,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,axial,0.3,0.08888888888888888,0.06700642066163288,0.06700642066163288,0.007461678177482375,0.05954474248415051,1.498867631330018e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,axial,0.4,0.11851851851851852,0.15880418944304975,0.15880418944304975,0.01577575047397485,0.14302843896907488,2.9755325931050246e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,axial,0.5,0.14814814814814814,0.31007115400701074,0.31007115400701074,0.027079218911731318,0.2829919350952794,4.794525338464085e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,axial,0.6,0.17777777777777776,0.5355723283362548,0.5355723283362548,0.040342622709278075,0.49522970562697666,6.720809180479872e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,axial,0.8,0.23703703703703705,1.267984794971381,1.267984794971381,0.06504791127440668,1.2029368836969743,9.78290186286304e-08,22,6,10;12;14;16,2e-06,5e-10,5e-12
fan_wang,axial,0.95,0.28148148148148144,2.1209913799646336,2.1209913799646336,0.07052181755733666,2.050469562407297,1.0380899962934885e-07,22,6,10;12;14;16,2e-06,5e-10,5e-12
